start,end,duration_min
2019-11-05 20:55:00,2019-11-05 21:15:00,20.0
2019-11-05 21:50:00,2019-11-05 21:55:00,5.0
2019-11-05 22:35:00,2019-11-05 22:40:00,5.0
2019-11-05 22:50:00,2019-11-05 23:10:00,20.0
2019-11-05 23:30:00,2019-11-05 23:35:00,5.0
2019-11-06 00:00:00,2019-11-06 00:05:00,5.0
2019-11-06 00:15:00,2019-11-06 00:20:00,5.0
2019-11-06 00:55:00,2019-11-06 01:05:00,10.0
2019-11-06 01:10:00,2019-11-06 01:20:00,10.0
2019-11-06 01:25:00,2019-11-06 01:35:00,10.0
2019-11-06 01:55:00,2019-11-06 02:00:00,5.0
2019-11-06 03:00:00,2019-11-06 03:15:00,15.0
2019-11-06 03:20:00,2019-11-06 03:35:00,15.0
2019-11-06 03:40:00,2019-11-06 03:55:00,15.0
2019-11-06 04:00:00,2019-11-06 04:10:00,10.0
2019-11-06 04:20:00,2019-11-06 04:30:00,10.0
2019-11-06 04:40:00,2019-11-06 04:55:00,15.0
2019-11-06 05:00:00,2019-11-06 05:10:00,10.0
2019-11-06 05:20:00,2019-11-06 05:30:00,10.0
2019-11-06 05:35:00,2019-11-06 05:40:00,5.0
2019-11-06 05:55:00,2019-11-06 07:50:00,115.0
2019-11-06 07:55:00,2019-11-06 08:25:00,30.0
2019-11-06 08:30:00,2019-11-06 08:45:00,15.0
2019-11-06 08:50:00,2019-11-06 11:25:00,155.0
2019-11-06 11:30:00,2019-11-06 12:05:00,35.0
2019-11-06 12:10:00,2019-11-06 12:15:00,5.0
2019-11-06 22:05:00,2019-11-06 22:15:00,10.0
2019-11-07 04:40:00,2019-11-07 04:45:00,5.0
2019-11-07 17:40:00,2019-11-07 17:45:00,5.0
2019-11-08 14:20:00,2019-11-08 14:35:00,15.0
2019-11-09 13:35:00,2019-11-09 13:40:00,5.0
2019-11-11 16:10:00,2019-11-11 16:20:00,10.0
2019-11-14 10:30:00,2019-11-14 10:35:00,5.0
2019-11-14 22:10:00,2019-11-14 22:15:00,5.0
2019-11-14 22:25:00,2019-11-14 22:30:00,5.0
2019-11-17 15:30:00,2019-11-17 15:35:00,5.0
2019-11-19 02:35:00,2019-11-19 02:40:00,5.0
2019-11-19 04:55:00,2019-11-19 05:00:00,5.0
2019-11-19 16:15:00,2019-11-19 16:25:00,10.0
2019-11-19 16:40:00,2019-11-19 16:50:00,10.0
2019-11-19 17:05:00,2019-11-19 17:10:00,5.0
2019-11-19 17:35:00,2019-11-19 17:40:00,5.0
2019-11-19 17:50:00,2019-11-19 18:00:00,10.0
2019-11-19 18:10:00,2019-11-19 18:25:00,15.0
2019-11-19 20:05:00,2019-11-19 20:25:00,20.0
2019-11-19 20:30:00,2019-11-19 20:35:00,5.0
2019-11-19 22:30:00,2019-11-19 22:40:00,10.0
2019-11-20 13:10:00,2019-11-20 13:15:00,5.0
2019-11-20 14:40:00,2019-11-20 14:45:00,5.0
2020-01-17 18:25:00,2020-01-17 18:30:00,5.0
2020-01-18 10:40:00,2020-01-18 10:45:00,5.0
2020-01-18 10:55:00,2020-01-18 11:00:00,5.0
2020-01-19 21:30:00,2020-01-19 21:35:00,5.0
2020-01-20 01:05:00,2020-01-20 01:10:00,5.0
2020-01-20 15:55:00,2020-01-20 16:05:00,10.0
2020-01-20 17:40:00,2020-01-20 17:45:00,5.0
2020-02-14 14:25:00,2020-02-14 14:30:00,5.0
2020-02-14 14:40:00,2020-02-14 14:45:00,5.0
2020-02-17 15:45:00,2020-02-17 15:50:00,5.0
2020-02-18 02:15:00,2020-02-18 02:20:00,5.0
2020-02-18 04:35:00,2020-02-18 04:40:00,5.0
2020-03-11 16:50:00,2020-03-11 16:55:00,5.0
2020-03-11 17:15:00,2020-03-11 17:20:00,5.0
2020-03-13 16:20:00,2020-03-13 16:25:00,5.0
2020-03-22 14:20:00,2020-03-22 14:25:00,5.0
2020-03-22 14:40:00,2020-03-22 14:50:00,10.0
2020-03-22 15:00:00,2020-03-22 16:45:00,105.0
2020-03-22 16:55:00,2020-03-22 17:05:00,10.0
