,true,persist_pred,arima_pred
2020-02-05 22:50:00,896.55,891.14,891.6574460625744
2020-02-05 22:55:00,897.54,896.55,891.6574460625744
2020-02-05 23:00:00,882.19,897.54,891.6574460625744
2020-02-05 23:05:00,874.86,882.19,891.6574460625744
2020-02-05 23:10:00,879.33,874.86,891.6574460625744
2020-02-05 23:15:00,879.94,879.33,891.6574460625744
2020-02-05 23:20:00,874.67,879.94,891.6574460625744
2020-02-05 23:25:00,884.76,874.67,891.6574460625744
2020-02-05 23:30:00,898.86,884.76,891.6574460625744
2020-02-05 23:35:00,887.72,898.86,891.6574460625744
2020-02-05 23:40:00,877.79,887.72,891.6574460625744
2020-02-05 23:45:00,876.81,877.79,891.6574460625744
2020-02-05 23:50:00,879.0,876.81,891.6574460625744
2020-02-05 23:55:00,874.56,879.0,891.6574460625744
2020-02-06 00:00:00,882.03,874.56,891.6574460625744
2020-02-06 00:05:00,876.77,882.03,891.6574460625744
2020-02-06 00:10:00,890.71,876.77,891.6574460625744
2020-02-06 00:15:00,875.18,890.71,891.6574460625744
2020-02-06 00:20:00,883.41,875.18,891.6574460625744
2020-02-06 00:25:00,873.87,883.41,891.6574460625744
2020-02-06 00:30:00,885.58,873.87,891.6574460625744
2020-02-06 00:35:00,891.59,885.58,891.6574460625744
2020-02-06 00:40:00,886.88,891.59,891.6574460625744
2020-02-06 00:45:00,890.11,886.88,891.6574460625744
2020-02-06 00:50:00,894.94,890.11,891.6574460625744
2020-02-06 00:55:00,901.32,894.94,891.6574460625744
2020-02-06 01:00:00,886.21,901.32,891.6574460625744
2020-02-06 01:05:00,893.52,886.21,891.6574460625744
2020-02-06 01:10:00,884.9,893.52,891.6574460625744
2020-02-06 01:15:00,908.32,884.9,891.6574460625744
2020-02-06 01:20:00,895.15,908.32,891.6574460625744
2020-02-06 01:25:00,901.37,895.15,891.6574460625744
2020-02-06 01:30:00,906.12,901.37,891.6574460625744
2020-02-06 01:35:00,907.73,906.12,891.6574460625744
2020-02-06 01:40:00,893.01,907.73,891.6574460625744
2020-02-06 01:45:00,890.29,893.01,891.6574460625744
2020-02-06 01:50:00,903.08,890.29,891.6574460625744
2020-02-06 01:55:00,913.98,903.08,891.6574460625744
2020-02-06 02:00:00,903.09,913.98,891.6574460625744
2020-02-06 02:05:00,893.78,903.09,891.6574460625744
2020-02-06 02:10:00,892.02,893.78,891.6574460625744
2020-02-06 02:15:00,906.09,892.02,891.6574460625744
2020-02-06 02:20:00,901.26,906.09,891.6574460625744
2020-02-06 02:25:00,892.48,901.26,891.6574460625744
2020-02-06 02:30:00,912.13,892.48,891.6574460625744
2020-02-06 02:35:00,896.52,912.13,891.6574460625744
2020-02-06 02:40:00,904.99,896.52,891.6574460625744
2020-02-06 02:45:00,890.32,904.99,891.6574460625744
2020-02-06 02:50:00,899.76,890.32,891.6574460625744
